ID	Longitude	Latitude	number	Habitat
156	163.6	-78.1	5	Aquatic
158	163.7	-78.1	15	Aquatic
160	163.8	-78.1	5	Aquatic
748	163.8	-78.1	3	Terrestrial
162	163.9	-78.1	8	Aquatic
167	164	-78.1	5	Aquatic
164	164.1	-78.1	9	Aquatic
165	164.3	-78.1	5	Aquatic
157	163.7	-78	4	Aquatic
159	163.8	-78	9	Aquatic
161	163.9	-78	1	Aquatic
166	164	-78	4	Aquatic
163	164.1	-78	7	Aquatic
153	162.4	-77.7	21	Aquatic
154	163.2	-77.6	34	Aquatic
151	161.6	-77.5	20	Aquatic
749	167.1	-77.5	1	Terrestrial
152	161.9	-77.4	14	Aquatic
191	-180	-76.5	7	Aquatic
526	77.8	-68.8	4	Engineered
362	78.2	-68.6	26	Aquatic
527	78.2	-68.6	1	Engineered
361	78.2	-68.5	28	Aquatic
303	-64	-64.8	11	Aquatic
302	-64.9	-64.5	10	Aquatic
271	-49.2	-62.3	3	Aquatic
288	-58.7	-62.2	14	Aquatic
272	-49.3	-62.1	4	Aquatic
273	-49.4	-62	11	Aquatic
267	-43.9	-61.3	6	Aquatic
295	-60.5	-60.4	9	Aquatic
311	-68.3	-54.8	2	Aquatic
254	-39.8	-50.4	11	Aquatic
287	-58.3	-47.2	4	Aquatic
286	-57.8	-47.1	10	Aquatic
345	-75.9	-44.3	7	Aquatic
699	-103.8	-44	12	Terrestrial
618	171.6	-42.3	31	Other host
619	175.6	-40.4	6	Other host
117	135.2	-39.2	1	Aquatic
268	-45	-38	7	Aquatic
207	26.3	-35.3	5	Aquatic
208	26.4	-35.3	12	Aquatic
206	26.3	-35.2	4	Aquatic
187	18.1	-34.8	1	Aquatic
184	-178.2	-34.3	6	Aquatic
611	151.2	-34	26	Other host
337	-73	-33.9	10	Aquatic
742	151.2	-33.9	3	Terrestrial
336	-73	-33.8	13	Aquatic
256	39.9	-33.6	12	Aquatic
609	151.1	-33.6	7	Other host
610	151.2	-33.6	13	Other host
64	121.4	-33.3	1	Aquatic
182	-177.7	-32.9	2	Aquatic
416	-87.1	-32.8	11	Aquatic
59	12.8	-32.8	3	Aquatic
293	6.8	-31.8	2	Aquatic
616	159.1	-31.6	3	Other host
25	110.2	-31.2	6	Aquatic
261	4.7	-31.1	10	Aquatic
260	4.7	-31	14	Aquatic
40	115.1	-30.5	3	Aquatic
266	-43.3	-30.3	8	Aquatic
11	103.3	-30.3	7	Aquatic
264	-43.2	-30.1	5	Aquatic
393	82.6	-29.8	6	Aquatic
9	-101.2	-29.7	3	Aquatic
247	37.9	-29.5	11	Aquatic
252	38	-29.5	4	Aquatic
23	-11.8	-28.6	2	Aquatic
185	179.1	-28.4	9	Aquatic
756	26.8	-28.2	11	Terrestrial
296	63.3	-28	12	Aquatic
121	14.3	-27.7	5	Aquatic
491	153	-27.5	9	Engineered
490	153.2	-27.5	16	Engineered
197	-21.4	-26.9	2	Aquatic
38	-111.8	-25.8	7	Aquatic
186	-179.5	-25.5	5	Aquatic
244	-36	-25	9	Aquatic
621	28.8	-24.7	7	Other host
498	-46.6	-23.7	14	Engineered
105	-129.7	-23.2	7	Aquatic
104	-129.6	-23.2	8	Aquatic
249	-37	-23	10	Aquatic
630	-48.3	-22.9	3	Other host
